genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Rasamsonia	100	0	0	58	0	0	0	0	16	60
Hygrocybe	30	0	0	0	33	0	92	0	72	5
Kodamaea	45	0	0	0	0	98	0	0	89	0
Articulospora	4	0	0	0	0	96	51	0	74	0
Cystobasidium	42	0	0	138	0	0	0	0	0	42
Phaeosphaeria	42	0	0	0	39	0	0	76	63	0
Macrophomina	7	0	0	11	0	0	160	0	20	22
Phomatospora	0	0	26	161	0	0	0	0	30	0
Morenoina	0	97	0	0	0	0	0	0	119	0
Thelebolus	16	0	29	0	0	0	64	69	38	0
Neodevriesia	174	0	0	0	0	0	0	0	28	0
Crassicarpon	0	0	0	0	0	0	0	0	62	140
Myrmecridium	34	0	0	0	0	164	0	0	0	0
Chrysanthotrichum	0	0	0	0	0	0	133	0	58	0
Myxocephala	0	189	0	0	0	0	0	0	0	0
Geoglossum	37	0	0	0	0	0	0	149	0	0
Acrophialophora	37	0	3	65	0	0	0	0	73	0
Striaticonidium	90	0	0	0	0	0	86	0	0	0
Clavaria	58	15	0	0	0	0	0	80	22	0
Montagnula	0	0	0	0	0	175	0	0	0	0
Paraglomus	0	111	47	0	0	0	0	0	15	0
Trametes	26	0	0	0	0	0	147	0	0	0
Paraconiothyrium	0	0	0	109	45	0	0	0	0	18
Sistotrema	22	0	0	111	0	0	0	0	37	0
Mrakia	43	37	0	0	0	0	0	0	13	77
Ophiosphaerella	27	0	0	75	0	0	43	0	23	0
Sebacina	0	0	22	0	0	77	0	0	68	0
Trechispora	0	0	0	0	167	0	0	0	0	0
Tricharina	0	137	0	0	0	0	0	0	28	0
Phialosimplex	111	0	0	0	0	0	0	0	27	27
Pseudopithomyces	0	0	0	80	63	0	0	0	19	0
Holtermanniella	42	36	0	0	60	0	0	0	23	0
Paraphoma	27	0	0	46	0	0	0	0	56	30
Funneliformis	0	52	0	0	0	0	0	44	62	0
Syncephalis	3	0	39	116	0	0	0	0	0	0
Stereum	0	0	0	85	0	49	0	0	0	22
Mucor	11	0	0	2	0	0	0	0	139	2
Xylogone	32	0	0	92	0	0	0	0	30	0
Ramophialophora	0	0	34	0	0	0	63	0	56	0
Alfaria	21	0	0	0	101	0	0	0	31	0
Vermispora	0	0	0	0	0	20	123	0	0	8
Paecilomyces	0	0	0	0	0	0	0	0	63	88
Gorgomyces	0	0	0	0	0	0	0	141	10	0
Zasmidium	0	150	0	0	0	0	0	0	0	0
Thermoascus	33	0	0	0	89	0	0	0	28	0
Pseudeurotium	20	130	0	0	0	0	0	0	0	0
Monographella	37	0	0	0	112	0	0	0	0	0
Sterigmatomyces	27	0	0	0	0	106	0	0	14	0
Torula	115	0	0	0	0	0	0	0	31	0
Knufia	28	0	0	0	0	112	0	0	4	0
Bipolaris	0	0	0	0	0	22	0	82	40	0
Subulicystidium	42	0	0	0	0	101	0	0	0	0
Hawksworthiomyces	0	139	0	0	0	0	0	0	0	0
Parengyodontium	0	0	0	136	0	0	1	0	0	0
Cercophora	37	0	0	0	0	0	0	100	0	0
Achroceratosphaeria	39	77	0	0	0	0	0	0	20	0
Coprinellus	110	0	0	0	0	0	0	0	25	0
Coprinopsis	27	0	14	0	0	29	0	0	60	0
Pseudocercospora	0	0	0	0	0	0	68	0	0	62
Acaulium	29	0	0	0	73	0	0	0	21	0
Lectera	59	0	0	0	0	0	0	0	64	0
Eichleriella	0	0	0	0	0	0	122	0	0	0
Edenia	11	0	0	59	0	22	0	0	27	0
Curvibasidium	0	0	0	0	0	0	0	100	19	0
Stemphylium	42	0	0	77	0	0	0	0	0	0
Exutisphaerella	27	0	0	0	0	0	92	0	0	0
Rhizopus	0	0	0	62	0	6	0	0	50	0
Peniophora	0	0	0	0	115	0	0	0	0	0
Clavispora	0	0	0	0	0	0	0	0	11	103
Fusariella	19	0	0	0	0	0	0	0	91	0
Teunomyces	86	0	0	0	0	0	0	0	23	0
Acrocalymma	43	0	0	0	0	0	63	0	0	0
Oidiodendron	31	0	0	0	0	0	0	0	75	0
Thelonectria	0	0	0	0	0	0	0	58	48	0
Ceratobasidium	59	0	0	0	0	0	0	0	0	45
Lecanicillium	30	0	0	0	0	73	0	0	0	0
Acrostalagmus	37	0	0	0	0	0	0	0	14	50
Arthrographis	0	0	0	0	0	0	0	100	0	0
Arthrocatena	0	0	0	0	100	0	0	0	0	0
Roussoella	0	0	0	76	0	0	23	0	0	0
Lomentospora	0	0	98	0	0	0	0	0	0	0
Neonectria	0	0	0	0	47	0	0	0	51	0
Coprotus	0	0	0	0	0	0	63	35	0	0
Plenodomus	0	0	0	14	0	0	0	75	9	0
Paracylindrocarpon	0	80	0	0	0	0	0	0	0	17
Condenascus	0	96	0	0	0	0	0	0	0	0
Cyberlindnera	1	0	0	55	39	0	0	0	0	0
Malassezia	7	0	0	0	11	2	0	2	73	0
Monodictys	21	73	0	0	0	0	0	0	0	0
Pseudaleuria	15	0	0	0	78	0	0	0	0	0
Collarispora	0	93	0	0	0	0	0	0	0	0
Grammothele	0	0	0	0	0	93	0	0	0	0
Boothiomyces	15	0	0	0	0	77	0	0	0	0
Apodus	92	0	0	0	0	0	0	0	0	0
Strelitziana	27	0	24	0	0	0	0	3	36	0
Pseudoclathrosphaerina	0	31	0	0	59	0	0	0	0	0
Dipodascus	0	0	0	0	37	0	53	0	0	0
Paracremonium	45	0	44	0	0	0	0	0	0	0
Sodiomyces	0	0	0	0	0	0	0	0	23	66
Neoascochyta	19	0	0	0	0	0	0	70	0	0
Westerdykella	6	0	0	0	0	83	0	0	0	0
Membranomyces	0	0	0	57	0	0	0	0	32	0
Sphaerellopsis	0	0	0	0	0	0	0	89	0	0
Gliocladiopsis	0	0	0	0	54	0	0	0	34	0
Rhodosporidiobolus	26	0	0	0	0	0	62	0	0	0
Scutellinia	0	0	88	0	0	0	0	0	0	0
Cumuliphoma	28	0	0	0	0	0	59	0	0	0
Symmetrospora	36	36	0	0	0	0	0	0	15	0
Antarctomyces	0	0	0	87	0	0	0	0	0	0
Toxicocladosporium	0	0	0	0	0	0	0	86	0	0
Rhizophagus	13	0	0	54	0	0	0	0	18	0
Mariannaea	0	0	0	0	0	0	84	0	0	0
Hodophilus	0	0	0	0	0	0	0	67	17	0
Cephalotheca	19	0	0	65	0	0	0	0	0	0
Neosetophoma	0	54	0	0	0	0	0	0	30	0
Rachicladosporium	0	0	0	0	0	0	84	0	0	0
Erythrobasidium	15	0	0	0	0	0	67	0	0	0
Auricularia	0	0	0	81	0	0	0	0	0	0
Sporormurispora	0	0	0	0	0	0	0	0	81	0
Phaeohelotium	0	80	0	0	0	0	0	0	0	0
Angustimassarina	0	0	0	0	0	0	50	0	30	0
Lycogalopsis	0	0	78	0	0	0	0	0	0	0
Microsporum	0	0	0	0	0	0	63	0	14	0
Diversispora	10	0	50	0	0	0	0	0	14	0
Podosphaera	74	0	0	0	0	0	0	0	0	0
Clavulinopsis	30	0	0	0	0	0	0	0	31	11
Hirsutella	0	0	0	0	0	0	0	0	72	0
Monocillium	71	0	0	0	0	0	0	0	0	0
Athelia	11	0	0	0	0	0	0	0	57	0
Kernia	0	0	0	0	0	0	0	0	68	0
