genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Membranomyces	101	0	248	0	0	0	12	0	0	0
Vermispora	0	0	0	0	0	0	0	218	69	73
Arcopilus	80	139	0	89	0	49	0	0	0	0
Idriella	37	192	0	0	0	0	0	0	0	128
Morenoina	0	0	0	0	76	93	188	0	0	0
Cyberlindnera	24	0	195	0	44	68	18	0	0	0
Funneliformis	83	0	106	102	0	0	0	0	0	55
Acrophialophora	0	0	0	0	38	36	271	0	0	0
Diversispora	0	0	0	0	56	81	0	204	0	0
Neocallimastix	0	0	241	99	0	0	0	0	0	0
Inocybe	68	122	121	0	0	0	28	0	0	0
Chaetomidium	0	0	150	63	35	32	0	0	59	0
Amanita	24	0	0	0	0	0	0	252	0	61
Geastrum	0	291	0	0	18	26	0	0	0	0
Serpula	0	0	0	0	162	164	0	0	0	0
Neopestalotiopsis	0	0	0	0	0	0	325	0	0	0
Teunomyces	0	75	77	0	0	0	32	0	0	140
Peziza	0	0	174	91	20	37	0	0	0	0
Arthrinium	25	119	120	0	26	30	0	0	0	0
Tylospora	40	197	0	0	0	0	0	0	0	77
Trametes	0	0	0	0	0	0	0	0	0	313
Cystobasidium	0	108	0	0	27	58	14	51	0	53
Neomicrosphaeropsis	0	86	0	0	32	0	0	0	124	67
Condenascus	53	202	0	0	0	0	0	0	45	0
Coprinopsis	0	0	0	161	23	104	11	0	0	0
Cordyceps	0	285	0	0	0	0	0	0	13	0
Bonordeniella	0	146	0	149	0	0	0	0	0	0
Stolonocarpus	0	108	71	114	0	0	0	0	0	0
Ramariopsis	0	0	0	0	28	35	0	154	0	76
Pseudopyrenochaeta	0	134	0	0	0	0	0	0	0	158
Udeniomyces	0	0	112	106	22	46	0	0	0	0
Micropsalliota	0	0	167	114	0	0	0	0	0	0
Actinomucor	0	64	0	73	15	42	20	0	23	43
Thelonectria	113	0	0	0	38	44	9	0	0	75
Arachnomyces	0	0	168	0	0	0	0	0	0	110
Leptospora	0	0	0	0	14	42	0	0	0	219
Phomatospora	0	0	0	0	0	0	0	147	0	127
Albifimbria	71	0	0	0	0	0	70	0	0	127
Lichtheimia	0	157	0	0	0	0	0	0	0	111
Chaetosphaeronema	62	0	0	131	0	0	15	0	0	54
Ceratobasidium	133	0	0	54	0	0	27	0	0	47
Scleroderma	0	0	108	0	25	48	43	0	0	37
Tricharina	0	0	0	0	0	0	0	261	0	0
Setophoma	44	0	0	0	36	61	0	118	0	0
Sterigmatomyces	26	0	0	145	5	9	33	0	26	15
Latorua	0	0	0	244	0	0	10	0	0	0
Peniophora	0	0	0	0	28	41	0	0	0	185
Penicillifer	0	250	0	0	0	0	0	0	0	0
Epichloe	0	0	246	0	0	0	0	0	0	0
Neocucurbitaria	0	0	0	0	0	0	18	163	0	61
Iodophanus	43	0	0	90	14	40	0	0	0	54
Boothiomyces	82	0	159	0	0	0	0	0	0	0
Lactarius	0	54	0	0	27	72	0	0	0	86
Chloridium	0	0	0	0	0	0	5	189	0	43
Rhodosporidiobolus	0	0	114	0	42	79	0	0	0	0
Leptobacillium	50	0	179	0	0	0	0	0	0	0
Monascus	0	0	0	229	0	0	0	0	0	0
Ascotricha	0	0	0	0	0	0	0	0	0	229
Beauveria	0	105	0	0	0	0	0	0	0	122
Minutisphaera	0	0	85	123	0	0	14	0	0	0
Betamyces	0	0	221	0	0	0	0	0	0	0
Ascobolus	0	0	0	0	63	133	0	0	0	25
Wardomyces	0	0	0	0	0	0	133	0	0	88
Phellinus	0	0	90	0	32	98	0	0	0	0
Curvibasidium	0	114	0	0	17	38	0	47	0	0
Bjerkandera	0	0	0	0	45	45	0	0	0	126
Pseudocercospora	59	0	156	0	0	0	0	0	0	0
Ascochyta	0	0	0	0	0	0	0	0	0	215
Mycoleptodiscus	0	0	213	0	0	0	0	0	0	0
Bipolaris	122	0	0	0	9	12	0	0	0	68
Trechispora	0	156	0	0	0	0	0	0	55	0
Perusta	48	0	0	0	26	24	0	0	65	47
Botryosphaeria	0	0	0	0	0	0	7	174	0	29
Parathyridaria	61	0	148	0	0	0	0	0	0	0
Pseudosigmoidea	0	129	0	0	33	45	0	0	0	0
Scedosporium	0	120	0	0	0	0	87	0	0	0
Pseudopithomyces	0	125	0	0	30	50	0	0	0	0
Paraglomus	0	0	73	54	16	33	29	0	0	0
Clarireedia	91	0	0	0	0	0	0	113	0	0
Flammulina	0	0	80	0	22	41	0	0	0	60
Xenopolyscytalum	63	0	0	0	32	37	21	0	0	49
Catenulostroma	0	0	202	0	0	0	0	0	0	0
Poaceascoma	0	0	0	112	49	40	0	0	0	0
Montagnula	0	189	0	0	0	0	11	0	0	0
Mucor	47	0	0	0	2	4	5	0	139	0
Leptosphaeria	0	0	0	125	30	40	0	0	0	0
Helvellosebacina	28	0	166	0	0	0	0	0	0	0
Glutinomyces	0	0	81	109	0	0	0	0	0	0
Powellomyces	131	0	0	0	18	13	0	0	0	27
Lecanicillium	0	0	0	103	0	0	0	0	0	85
Parasola	0	0	186	0	0	0	0	0	0	0
Neocamarosporium	0	13	0	0	25	46	0	0	0	98
Trichophaeopsis	0	0	0	0	18	27	0	0	78	59
Atractium	0	0	0	0	0	0	76	0	104	0
Cadophora	0	0	0	0	0	0	0	117	0	62
Ophiosphaerella	0	116	0	0	0	0	0	0	0	62
Monosporascus	0	0	0	125	0	0	0	0	52	0
Metacordyceps	0	0	175	0	0	0	0	0	0	0
Edenia	0	0	122	0	0	0	0	0	53	0
Oidiodendron	53	0	0	0	1	0	19	100	0	0
Septoriella	0	103	0	0	0	0	0	0	69	0
Neostagonospora	0	118	0	0	0	0	0	0	52	0
Cistella	0	125	0	0	0	0	0	0	0	38
Entrophospora	0	0	132	0	0	0	31	0	0	0
Eleutherascus	39	0	123	0	0	0	0	0	0	0
Paraisaria	0	124	0	0	22	15	0	0	0	0
Hormonema	58	0	0	0	9	13	0	80	0	0
Campylocarpon	0	0	160	0	0	0	0	0	0	0
Gymnopilus	0	0	158	0	0	0	0	0	0	0
Xerochrysium	0	0	0	0	0	85	0	0	73	0
Scutellinia	0	0	99	0	0	0	0	0	0	58
Rhizoctonia	0	74	0	0	0	0	0	0	0	82
Neobulgaria	0	0	0	156	0	0	0	0	0	0
Thelephora	0	0	155	0	0	0	0	0	0	0
Gymnostellatospora	0	0	0	114	0	0	0	0	0	41
Cyathus	0	0	0	0	3	27	0	0	0	123
Yamadazyma	116	0	0	0	0	0	0	0	35	0
Neonectria	0	0	0	121	0	0	0	0	30	0
Tubaria	0	0	0	0	0	0	0	149	0	0
Marasmiellus	0	0	0	0	0	0	0	0	0	147
Pithoascus	0	0	0	87	0	0	0	0	0	59
Exserohilum	0	0	0	0	0	0	29	117	0	0
Zopfiella	0	0	145	0	0	0	0	0	0	0
Phaeococcomyces	0	0	138	0	0	0	6	0	0	0
Chrysanthotrichum	0	0	0	0	0	0	0	0	0	144
Calcarisporiella	0	0	138	0	0	0	5	0	0	0
Phaeotremella	36	0	0	0	22	29	0	0	0	52
Tomentella	0	138	0	0	0	0	0	0	0	0
Atractospora	0	0	0	0	29	50	0	0	58	0
Clavulina	0	0	0	0	0	0	0	136	0	0
Panaeolus	0	0	134	0	0	0	0	0	0	0
Myxocephala	0	0	0	120	0	0	0	14	0	0
Peroneutypa	0	0	0	0	0	0	0	0	0	134
Neomassarina	0	0	0	133	0	0	0	0	0	0
Botryotinia	0	0	0	133	0	0	0	0	0	0
Chaetosphaeria	0	0	0	0	0	0	26	0	106	0
Ceratocystis	0	54	0	0	0	0	0	0	75	0
Paracremonium	0	0	129	0	0	0	0	0	0	0
Keithomyces	0	0	0	0	0	0	0	129	0	0
Arxotrichum	0	0	128	0	0	0	0	0	0	0
Hyweljonesia	0	0	128	0	0	0	0	0	0	0
Pseudoclathrosphaerina	0	0	0	128	0	0	0	0	0	0
Duddingtonia	0	0	0	128	0	0	0	0	0	0
Umbelopsis	0	0	127	0	0	0	0	0	0	0
Pseudotremella	0	0	63	57	0	0	7	0	0	0
Brunneochlamydosporium	0	123	0	0	0	0	0	0	0	0
Periconia	0	0	0	0	0	0	17	106	0	0
Meristemomyces	0	0	0	0	0	0	11	111	0	0
Thermothielavioides	0	0	0	0	51	69	0	0	0	0
Entorrhiza	0	0	0	0	35	34	0	0	0	51
Stellatospora	0	0	0	0	0	0	0	0	0	120
Bolbitius	0	119	0	0	0	0	0	0	0	0
Achroiostachys	0	0	119	0	0	0	0	0	0	0
Rhinocladiella	0	0	119	0	0	0	0	0	0	0
Phialemoniopsis	0	0	0	83	0	0	0	0	0	33
Itersonilia	0	0	0	80	16	18	0	0	0	0
Kalmusia	0	0	0	112	0	0	0	0	0	0
Clathrosphaerina	0	0	0	0	0	0	0	112	0	0
Amphinema	30	0	0	67	0	0	14	0	0	0
Stagonosporopsis	0	0	111	0	0	0	0	0	0	0
Lectera	0	36	0	0	0	0	0	0	0	74
Coprinus	0	0	0	110	0	0	0	0	0	0
Arthrographis	0	0	0	0	0	0	110	0	0	0
Articulospora	0	0	0	0	0	0	41	0	0	69
Lachnum	0	0	0	0	0	0	0	0	0	110
Dioszegia	0	0	0	0	21	32	4	51	0	0
Phialophora	0	0	0	0	0	0	12	0	95	0
Luellia	0	0	0	0	0	0	0	0	107	0
Microsporum	0	0	0	0	0	0	0	0	0	107
Cyllamyces	0	0	0	0	0	0	0	0	0	107
Brettanomyces	10	0	0	38	3	8	0	25	21	0
Genolevuria	0	0	0	0	0	0	0	0	0	105
Pleospora	0	0	104	0	0	0	0	0	0	0
Melnikomyces	0	0	0	0	0	0	0	0	0	104
Taphrina	0	103	0	0	0	0	0	0	0	0
Leotia	0	45	0	0	58	0	0	0	0	0
Neodactylaria	0	0	103	0	0	0	0	0	0	0
Sclerostagonospora	0	0	103	0	0	0	0	0	0	0
Arthroderma	0	0	0	0	34	69	0	0	0	0
Tolypocladium	0	0	0	0	39	63	0	0	0	0
Conlarium	43	0	0	0	33	25	0	0	0	0
Coniothyrium	42	0	0	0	16	36	4	0	0	0
Polycephalomyces	0	0	0	0	38	60	0	0	0	0
Hanseniaspora	0	0	79	0	0	0	0	0	18	0
Alatospora	0	0	0	0	0	0	0	94	0	0
Rhizopogon	0	66	0	0	4	22	0	0	0	0
Brunneomyces	0	0	0	92	0	0	0	0	0	0
Rhexodenticula	0	0	0	0	0	0	0	0	0	92
Schizosaccharomyces	91	0	0	0	0	0	0	0	0	0
Dinemasporium	0	0	87	0	0	0	0	0	0	0
Phallus	0	0	0	0	41	46	0	0	0	0
Xenodidymella	0	0	0	0	0	0	0	87	0	0
Verticillium	0	85	0	0	0	0	0	0	0	0
Gliomastix	0	0	0	0	0	0	0	0	0	85
Xenoramularia	83	0	0	0	0	0	0	0	0	0
Ramicandelaber	0	0	0	0	0	0	0	0	0	82
Inosperma	0	0	0	0	0	0	0	0	0	81
Basidioascus	0	0	0	0	0	0	0	80	0	0
Mycena	0	0	52	0	0	0	13	0	0	14
Melanocarpus	0	0	0	0	29	30	14	4	0	2
Lycoperdon	0	0	0	0	0	0	0	0	0	79
Clydaea	36	0	0	0	0	0	0	0	0	42
Sagenomella	0	0	0	0	35	35	8	0	0	0
Protomyces	0	0	0	0	18	10	0	0	50	0
Galactomyces	0	0	8	21	0	0	0	42	6	0
Ramichloridium	0	0	0	0	0	0	0	0	0	77
Graphium	0	0	0	0	0	0	0	0	0	77
Pilidium	0	0	74	0	0	0	0	0	0	0
Phaeoisaria	0	0	0	0	44	30	0	0	0	0
Acephala	0	0	0	0	0	0	0	0	0	74
Epicoleosporium	0	0	0	0	0	0	0	0	0	74
Roesleria	0	0	0	0	0	0	0	0	73	0
Westerdykella	0	0	0	0	0	0	0	0	0	73
Collariella	0	0	0	0	37	35	0	0	0	0
Cryptomarasmius	0	0	0	0	0	0	0	0	72	0
Collophora	0	0	0	0	0	0	0	0	0	72
Ophiobolopsis	0	0	0	0	0	0	0	0	0	72
Paraphaeosphaeria	0	0	0	0	0	0	0	0	0	72
Torula	0	0	71	0	0	0	0	0	0	0
Helgardia	0	0	0	0	0	0	15	0	0	56
Leptodiscella	0	0	0	0	0	0	0	0	0	71
Lyomyces	0	0	0	0	0	0	0	0	0	70
Cosmospora	0	57	0	0	0	0	12	0	0	0
Endophragmiella	0	0	69	0	0	0	0	0	0	0
Coleophoma	0	0	0	0	27	41	0	0	0	0
Trichometasphaeria	0	0	0	0	0	0	14	0	54	0
Monodictys	0	0	0	67	0	0	0	0	0	0
Stypella	0	0	0	0	23	44	0	0	0	0
Sulcispora	0	0	0	0	0	0	0	0	66	0
Mycocalicium	65	0	0	0	0	0	0	0	0	0
Gymnoascus	0	0	0	0	17	48	0	0	0	0
Lepista	0	0	64	0	0	0	0	0	0	0
Krasilnikovozyma	0	0	0	0	0	0	0	0	0	64
