genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Kazachstania	46	0	86	0	0	0	0	0	27	0
Latorua	56	0	43	0	0	60	0	0	0	0
Cercospora	0	0	40	0	94	0	22	0	0	0
Enterocarpus	0	29	26	0	0	12	0	86	0	0
Clavulinopsis	0	60	28	37	17	11	0	0	0	0
Aureobasidium	37	0	9	3	31	0	9	48	0	10
Myrmecridium	0	0	17	1	74	12	0	43	0	0
Colletotrichum	71	0	31	18	0	0	0	0	0	26
Didymella	0	0	0	0	0	55	31	30	26	0
Lecanicillium	27	80	5	9	0	0	20	0	0	0
Stagonosporopsis	0	0	0	16	0	0	82	0	43	0
Parengyodontium	52	0	9	8	41	0	0	30	0	0
Phallus	0	0	0	0	0	0	77	0	0	61
Phaeoacremonium	0	0	0	73	53	9	0	0	0	0
Funneliformis	0	0	27	0	0	2	21	0	0	84
Xenoacremonium	81	0	0	0	0	0	0	0	0	53
unclassifie	34	88	12	0	0	0	0	0	0	0
Stereum	51	0	2	0	40	0	21	0	0	19
Arxiella	0	0	0	131	0	0	0	0	0	0
Atractiella	131	0	0	0	0	0	0	0	0	0
Torula	0	0	12	25	28	12	0	28	25	0
Lobulomyces	0	0	0	0	0	0	0	3	113	14
Clonostachys	0	22	4	0	18	19	29	10	0	27
Hygrocybe	50	0	5	0	3	4	8	32	26	0
Kodamaea	44	0	15	0	0	0	37	31	0	0
Sistotrema	28	0	18	25	0	0	0	0	0	56
Cercophora	0	0	29	13	46	0	0	0	38	0
Edenia	0	20	0	8	0	0	11	87	0	0
Neodevriesia	0	0	108	16	0	0	0	0	0	0
Metacordyceps	0	0	10	0	48	0	8	58	0	0
Microdochium	37	0	33	0	24	0	0	11	17	0
Pleiocarpon	0	0	45	0	0	0	0	0	73	0
Geoglossum	42	0	15	0	0	0	0	0	0	58
Sagenomella	0	0	66	0	0	0	0	0	42	0
Schizothecium	0	0	38	14	0	32	22	0	0	0
Trichocladium	0	0	26	0	45	11	0	23	0	0
Geopora	78	0	0	0	0	0	0	0	0	27
Setophoma	58	0	0	0	0	0	20	0	27	0
Macrophomina	0	0	7	57	27	0	0	6	0	0
Russula	0	0	27	5	0	0	16	26	21	0
Taifanglania	0	41	0	0	54	0	0	0	0	0
Botryosphaeria	44	0	0	35	0	0	0	0	0	15
Cyathus	0	0	0	0	23	0	0	0	0	71
Angulomyces	0	0	2	0	2	0	0	82	0	0
Cystofilobasidium	0	0	33	0	52	0	0	0	0	0
Cystobasidium	0	0	7	0	78	0	0	0	0	0
Neocucurbitaria	0	0	13	0	72	0	0	0	0	0
Oidiodendron	0	23	21	0	0	0	0	0	0	40
Curvibasidium	0	37	9	0	31	0	6	0	0	0
Lomentospora	0	0	83	0	0	0	0	0	0	0
Corynespora	0	15	10	39	7	0	0	0	12	0
Scleroderma	0	0	81	0	0	0	0	0	0	0
Aaosphaeria	0	31	9	0	0	0	41	0	0	0
Xenomyrothecium	0	0	0	0	0	0	52	29	0	0
Entrophospora	0	0	0	0	0	0	56	25	0	0
Rhodosporidiobolus	78	0	0	0	0	0	0	0	0	0
Cumuliphoma	37	0	0	0	7	0	0	0	33	0
Cadophora	0	0	0	0	0	0	0	0	0	75
Simplicillium	0	0	10	0	0	0	0	27	0	35
Atractium	0	0	0	0	0	0	72	0	0	0
Pseudocercospora	0	0	35	36	0	0	0	0	0	0
