genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Mucilaginibacter	254	231	54	348	88	88	79	0	42	35
Pajaroellobacter	162	196	163	174	0	67	97	0	138	219
Peptoclostridium	17	74	158	92	447	52	10	179	30	143
Enterococcus	261	157	347	0	270	26	7	90	42	0
Acidothermus	82	111	96	118	358	41	62	233	42	56
Intestinimonas	0	300	39	24	375	118	7	0	26	304
Treponema	54	123	389	0	480	109	13	0	17	0
Brevundimonas	23	192	82	121	299	60	3	376	20	0
Lachnospiraceae_UCG_006	0	0	144	253	87	397	0	276	15	0
Tumebacillus	187	0	0	0	0	56	236	497	118	69
Roseomonas	2	0	244	0	279	96	19	285	33	199
Labrys	116	0	240	234	0	79	71	219	182	0
OM27_clade	129	120	40	0	0	210	105	112	66	341
Sphingobium	28	0	150	127	286	136	69	117	80	128
Hirschia	45	0	39	78	0	155	177	163	234	228
GCA_900066575	16	136	58	324	148	40	6	227	96	67
Dyella	90	0	132	186	128	316	59	0	204	0
UCG_005	41	230	284	96	259	33	0	7	16	147
SM1A02	157	0	110	228	2	75	385	69	56	13
Erysipelatoclostridium	17	57	6	77	175	367	37	166	23	161
Ramlibacter	60	38	0	147	278	116	41	202	126	66
Lachnoclostridium	12	131	141	218	236	119	0	0	39	151
Ohtaekwangia	133	0	84	180	0	59	180	0	328	58
Ilumatobacter	142	0	0	194	72	47	57	179	64	237
[Eubacterium]_xylanophilum_group	65	0	78	152	100	52	0	323	82	125
Plesiomonas	0	0	254	124	0	0	0	283	10	306
Yersinia	75	58	42	166	153	17	0	222	14	215
Gaiella	52	0	75	39	187	55	264	157	64	65
Pseudogulbenkiania	11	162	14	0	0	131	236	134	148	117
Pseudoxanthomonas	0	0	276	81	142	71	3	267	15	74
Mycobacterium	137	74	192	121	26	82	69	49	156	20
Candidatus_Alysiosphaera	20	0	0	294	152	58	149	148	53	33
Prevotella_7	262	12	52	172	0	26	21	248	0	99
Rhodobacter	0	23	81	343	0	184	17	119	61	64
Janthinobacterium	12	245	44	46	184	16	6	203	13	116
TM7a	40	100	318	51	123	38	4	85	0	109
Clostridium_sensu_stricto_8	116	0	148	0	0	232	88	0	48	223
[Eubacterium]_siraeum_group	0	78	65	90	0	0	3	472	30	117
Prevotella_9	105	116	182	4	3	48	28	55	0	272
CL500_29_marine_group	92	0	51	66	0	61	189	9	311	28
Klebsiella	13	73	143	90	338	11	3	0	36	84
Thiobacillus	40	4	0	0	0	119	461	79	87	0
Ammoniphilus	70	89	0	0	0	76	84	349	30	71
Pseudenhygromyxa	742	0	0	0	0	10	7	0	0	0
Corynebacterium	18	35	413	88	118	30	2	0	0	55
Faecalibacterium	100	0	140	0	134	107	0	193	63	20
P3OB_42	41	0	158	59	88	11	29	92	84	190
Paraclostridium	72	0	79	45	100	0	0	0	74	374
Chryseolinea	15	0	52	0	0	18	206	76	6	370
[Eubacterium]_oxidoreducens_group	61	0	0	235	128	0	16	192	0	79
Conexibacter	128	74	0	14	187	43	56	116	82	0
Lysobacter	164	0	17	163	117	77	40	11	94	5
Actinomadura	68	0	88	244	0	86	158	0	27	0
Acinetobacter	58	23	327	16	67	45	14	0	45	73
Truepera	24	115	82	40	0	0	0	364	38	4
Carnobacterium	0	194	0	72	189	0	0	0	0	207
Amaricoccus	0	0	0	0	639	10	0	0	7	0
Luteimonas	0	0	0	60	297	0	0	117	15	164
Muribaculum	88	0	86	96	157	45	9	109	18	34
Akkermansia	0	316	110	58	0	9	0	142	0	0
Anaerostipes	20	0	168	100	0	0	0	199	5	142
Monoglobus	34	68	131	61	85	79	12	0	0	147
Iamia	47	0	0	13	164	63	20	146	126	32
Parvibaculum	53	0	174	117	0	0	106	0	160	0
Acetatifactor	0	0	140	129	23	67	0	138	0	111
Lachnospiraceae_UCG_004	0	160	299	114	0	0	0	0	0	0
Turneriella	27	0	0	0	288	80	10	0	55	109
Aeromonas	0	307	74	0	102	0	0	0	13	71
