genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Flavisolibacter	60	0	4	9	10	38	11	14	0	35
Sphingopyxis	0	0	117	0	0	0	0	0	0	58
SM1A02	6	4	44	31	11	17	25	0	7	13
Variovorax	0	0	35	0	11	22	29	0	0	59
Tumebacillus	93	9	5	0	2	27	7	0	7	6
Dokdonella	11	4	20	7	11	27	0	0	9	64
Turneriella	0	29	22	33	7	9	34	0	3	13
Mucilaginibacter	41	50	0	10	6	0	12	2	5	21
Paenibacillus	66	22	10	9	2	11	7	0	5	15
CL500_29_marine_group	0	0	43	0	23	47	14	0	13	4
Endomicrobium	5	37	23	49	19	4	5	2	0	0
Inhella	0	53	18	11	12	25	11	0	10	0
Legionella	29	15	27	17	12	0	15	0	6	18
Dyella	17	0	19	9	6	11	8	17	8	40
IS_44	11	0	2	4	12	97	0	0	8	0
Candidatus_Ovatusbacter	10	6	10	4	14	7	7	0	9	66
bacterium_Ellin6537	31	27	0	2	5	2	10	0	14	35
Candidatus_Paracaedibacter	21	6	0	43	20	11	15	0	0	10
Permianibacter	0	10	7	2	5	77	8	0	14	2
Tahibacter	3	0	34	0	0	59	0	12	17	0
Iamia	51	3	16	0	8	12	0	4	0	23
Ahniella	19	19	22	30	0	18	7	0	0	0
Edaphobacter	4	6	0	0	31	3	0	36	0	33
MM2	34	0	10	0	0	12	21	0	12	23
BacC_u_018	8	15	12	16	15	2	8	6	8	22
Clostridium_sensu_stricto_1	15	0	0	0	0	21	6	16	19	34
Nocardioides	29	7	0	6	18	2	17	10	11	10
Singulisphaera	24	23	0	0	0	0	17	17	6	20
Ktedonobacter	29	9	0	7	0	2	5	24	4	26
OLB12	0	0	51	0	8	3	44	0	0	0
Methylovirgula	0	29	15	30	4	0	0	0	14	14
Candidatus_Xiphinematobacter	31	23	14	12	6	8	2	2	0	8
Ohtaekwangia	0	0	18	15	0	14	52	0	5	0
Chitinimonas	5	4	0	0	0	90	5	0	0	0
Thauera	0	0	99	0	0	0	0	0	0	0
Pseudonocardia	17	0	37	11	0	0	0	15	0	18
DSSD61	0	11	10	5	0	38	27	0	6	0
Gemmatirosa	13	20	0	20	0	0	8	18	0	16
Geodermatophilus	0	0	4	9	0	4	0	73	0	2
Mycobacterium	23	0	0	15	0	14	0	15	13	10
